ID_Produktu_Katalog,Nazwa_Produktu,Cena_Katalogowa,Kategoria_Produktu
1001,Mieć na imię Ósmy,339.36,Akcesoria
1002,Mało Zapalenie,153.68,Biuro
1003,Kalendarz Głos,291.73,Oprogramowanie
1004,Dzielnica Iść,307.01,Akcesoria
1005,Lot Centralny,977.54,Elektronika
1006,Skrzydło Jedenaście,54.96,Biuro
1007,Kostka Świecić,24.55,Biuro
1008,Organ Model,116.4,Akcesoria
1009,Świat Statek,305.78,Oprogramowanie
1010,Klasa Oficjalny,2686.34,AGD
1011,Jedyny Zamykać,58.15,Akcesoria
1012,Zgodnie Centrum,100.74,Akcesoria
1013,Zero Dawny,2704.63,Elektronika
1014,Umiejętność Zima,1382.98,Elektronika
1015,Nazywać Pomarańczowy,86.26,Biuro
1016,Samochód Tkanina,937.87,Oprogramowanie
1017,Rozwój Dokładny,124.81,Biuro
1018,Małpa Wizyta,2790.95,Elektronika
1019,Poprzedni Stado,152.91,Biuro
1020,Z krwi i kości Mieszkanka,123.93,Akcesoria
1021,Istnieć Woda,588.47,Elektronika
1022,Wszystkie Wierzyć,2099.32,Elektronika
1023,Kąt Pomieszczenie,2960.61,Elektronika
1024,Wrzesień Spotkać,1052.64,AGD
1025,Pewny Jedzenie,2240.99,Elektronika
1026,Zamknąć Umowa,164.2,Akcesoria
1027,Ponieważ Uwaga,391.2,Akcesoria
1028,Gwiazdozbiór 100,2487.83,Elektronika
1029,Dość Jazda,4560.75,Elektronika
1030,Drewniany Ramię,156.43,Biuro
1031,Ta Oddawać,241.63,Akcesoria
1032,Natychmiast Plecy,136.94,Biuro
1033,Owad Obowiązywać,139.96,Akcesoria
1034,Kobiecy Określenie,4833.46,Elektronika
1035,Większy But,3452.8,Elektronika
1036,Znaczyć Skala,1721.54,AGD
1037,Telewizyjny Kupić,858.91,AGD
1038,Matematyka Państwowy,5111.58,Elektronika
1039,Cierpienie Prawo,410.92,AGD
1040,Pióro Trudny,2326.09,AGD
1041,Zapalenie Podawać,3902.18,Elektronika
1042,Zawodowy Chłopiec,3277.6,Elektronika
1043,Czapka Utrzymywać,335.64,Akcesoria
1044,Podróżować Jego,2144.17,Elektronika
1045,Mysz Szpital,1761.1,AGD
1046,Rok Biblioteka,5108.75,Elektronika
1047,Religijny Lotniczy,1278.33,Elektronika
1048,Róża Powietrze,4519.86,Elektronika
1049,Ciekawy Mężczyzna,3641.67,Elektronika
1050,Panna Ameryka,103.78,Biuro
1051,Prawo Kwiecień,210.8,Akcesoria
1052,Też Poczta,3611.15,Elektronika
1053,Św. Złoto,231.83,Akcesoria
1054,Lud Niektóry,2088.78,Elektronika
1055,Płyn Twój,1172.56,AGD
1056,Świecić Odnosić się,677.52,Elektronika
1057,Znosić Wskazywać,4235.96,Elektronika
1058,Miara Przyczyna,429.84,Akcesoria
1059,Oddać Klient,132.35,Akcesoria
1060,Brat To,186.07,Akcesoria
1061,Te Dodatek,460.05,Akcesoria
1062,Ani Pływać,688.88,AGD
1063,Papier Zgoda,227.3,Akcesoria
1064,Świeca Przed,1499.88,Elektronika
1065,Szkoda Minuta,277.7,Akcesoria
1066,Cebula Ojczyzna,88.77,Biuro
1067,Bliski Wykonywanie,726.9,Elektronika
1068,Arabski Funkcja,122.38,Akcesoria
1069,Arabski Wyglądać,3261.26,Elektronika
1070,Obiad Jeśli,19.72,Biuro
1071,Jedyny Źródło,973.16,AGD
1072,Ozdobny Religijny,3010.49,Elektronika
1073,Pamiętać Z krwi i kości,1251.58,Elektronika
1074,Sowa Rzucać,45.94,Biuro
1075,Wiatr Drogi,100.67,Biuro
1076,Mąka Ukraiński,587.72,AGD
1077,Wróg Przeszkoda,2479.15,Elektronika
1078,Góra Kobiecy,2871.36,Elektronika
1079,Trudność Usuwać,348.2,Akcesoria
1080,Metal Ubogi,3805.61,Elektronika
1081,Gatunek Moneta,3501.06,Elektronika
1082,9 Kolejowy,368.55,Akcesoria
1083,Pogląd Ludzie,4929.56,Elektronika
1084,Oczywiście Naród,4591.13,Elektronika
1085,Klub Lina,436.48,Akcesoria
1086,Jeśli Na zewnątrz,2078.35,AGD
1087,Związany Przyprawa,654.37,Elektronika
1088,Kula Ponownie,104.85,Akcesoria
1089,Zainteresowanie Kanał,291.5,Akcesoria
1090,Polować Miejsce,4009.64,Elektronika
1091,Korzystać Opuścić,3366.04,Elektronika
1092,Brudny Sprzedaż,312.65,Akcesoria
1093,Wrażenie Element,411.55,Akcesoria
1094,Lud Dzień,211.57,Akcesoria
1095,Twarz Samolot,164.35,Akcesoria
1096,Dobrze Wiatr,1236.0,Elektronika
1097,Z powodu Sukces,1103.48,Elektronika
1098,On Kilka,72.76,Biuro
1099,Słoneczny Zakończenie,1114.52,Oprogramowanie
1100,Rysunek Rola,4609.97,Elektronika
9999,Produkt Specjalny / Niezidentyfikowany,1500.0,Inne
