Data_Transakcji,ID_Produktu_Sprzedaz,Region,Ilosc_Sprzedana,Cena_Jednostkowa_Transakcji,Wartosc_Sprzedazy
2025-05-08,1074,Północ,1,44.3,44.3
2025-05-13,1068,Północ,5,126.45,632.25
2025-04-12,1090,Wschód,2,3974.94,7949.88
2025-05-27,1031,Zachód,1,230.14,230.14
2025-06-23,1026,Wschód,5,167.64,838.2
2025-04-30,1005,Północ,3,974.83,2924.49
2025-06-07,1048,Północ,5,4442.37,22211.85
2025-06-13,1062,Wschód,4,707.26,2829.04
2025-06-06,1044,Południe,2,2079.38,4158.76
2025-04-16,1053,Północ,2,222.64,445.28
2025-05-08,1027,Wschód,4,406.25,1625.0
2025-04-27,1006,Wschód,3,52.64,157.92
2025-05-24,1016,Północ,3,923.6,2770.8
2025-05-14,1067,Zachód,3,718.65,2155.95
2025-05-10,1077,Północ,3,2595.56,7786.68
2025-05-26,1019,Wschód,5,148.53,742.65
2025-05-14,1038,Zachód,1,4919.6,4915.53
2025-04-06,1016,Północ,4,896.76,3587.04
2025-06-05,1004,Wschód,4,306.27,1225.08
2025-04-03,1012,Południe,5,103.57,517.85
2025-05-18,1011,Wschód,4,59.22,236.88
2025-05-16,1034,Północ,4,4738.57,18954.28
2025-05-20,1031,Północ,4,234.81,939.24
2025-06-23,1075,Zachód,2,96.07,192.14
2025-06-15,1028,Południe,1,2600.72,2600.72
2025-04-09,1001,Północ,4,328.13,1312.52
2025-05-31,1040,Południe,4,2312.34,9249.36
2025-04-06,1062,Północ,3,680.38,2041.14
2025-05-13,1087,Wschód,5,673.67,3368.35
2025-05-03,1034,Wschód,2,4656.44,9312.88
2025-06-04,1095,Wschód,3,171.66,514.98
2025-05-17,1094,Zachód,4,209.71,838.84
2025-04-04,1036,Zachód,2,1688.47,3376.94
2025-06-29,1010,Północ,1,2621.69,2621.69
2025-06-12,1001,Północ,5,345.42,1727.1
2025-04-26,1081,Południe,4,3642.08,14568.32
2025-06-18,1067,Południe,5,703.89,3519.45
2025-06-09,1045,Północ,5,1823.99,9119.95
2025-06-16,1063,Zachód,1,229.0,229.0
2025-06-25,1008,Północ,5,117.7,588.5
2025-06-10,1076,Północ,3,612.54,1837.62
2025-06-10,1094,Południe,4,220.39,881.56
2025-06-21,1027,Północ,4,407.41,1629.64
2025-05-14,1055,Zachód,2,1126.21,2252.42
2025-05-06,1090,Północ,1,3927.45,3927.45
2025-05-24,1008,Północ,3,113.9,341.7
2025-05-24,1032,Wschód,4,133.59,534.36
2025-06-23,1079,Wschód,1,345.84,345.84
2025-05-18,1017,Południe,5,129.04,645.2
2025-04-01,1018,Wschód,1,2855.89,2855.89
2025-04-05,1093,Wschód,5,410.21,2051.05
2025-05-13,1082,Północ,3,386.78,1160.34
2025-05-13,9999,Wschód,4,1476.78,5907.12
2025-06-07,1055,Wschód,2,1162.44,2324.88
2025-04-16,1006,Południe,3,54.55,163.65
2025-05-22,1017,Wschód,2,125.59,251.18
2025-05-10,1068,Zachód,5,120.38,601.9
2025-04-01,1022,Zachód,5,2106.17,10530.85
2025-06-19,1001,Południe,5,350.83,1754.15
2025-04-01,1097,Południe,1,1095.01,1095.01
2025-05-01,1062,Zachód,3,721.83,2165.49
2025-04-06,1030,Południe,1,149.68,149.68
2025-04-21,1092,Zachód,4,314.72,1258.88
2025-04-27,1015,Północ,4,89.2,356.8
2025-06-18,1022,Południe,4,2109.58,8438.32
2025-06-07,1051,Północ,1,217.25,217.25
2025-06-16,1066,Północ,5,84.98,424.9
2025-04-02,1066,Północ,4,85.97,345.93
2025-05-28,1002,Południe,4,147.06,588.24
2025-06-15,1055,Południe,5,1166.53,5832.65
2025-04-29,1049,Wschód,2,3552.33,7104.66
2025-05-24,1043,Zachód,2,319.23,638.46
2025-04-01,1018,Północ,4,2723.06,10892.24
2025-04-14,1030,Zachód,1,150.37,154.9
2025-06-30,1069,Wschód,2,3390.34,6780.68
2025-05-18,1079,Wschód,3,355.16,1065.48
2025-04-20,1019,Północ,3,155.35,466.05
2025-04-17,1016,Południe,3,939.17,2817.51
2025-06-18,1037,Wschód,2,830.83,1661.66
2025-06-20,1100,Zachód,1,4603.38,4603.38
2025-04-29,1025,Zachód,4,2142.97,8571.88
2025-04-21,1077,Wschód,3,2518.94,7556.82
2025-05-10,1021,Wschód,2,597.73,1195.46
2025-06-13,1029,Południe,4,4784.07,19136.28
2025-05-22,9999,Wschód,5,1450.48,7252.4
2025-06-21,1002,Północ,2,160.11,320.22
2025-05-12,1029,Zachód,1,4678.42,4678.42
2025-04-12,1064,Zachód,4,1551.54,6206.16
2025-04-01,1037,Zachód,4,873.52,3494.08
2025-06-12,1027,Zachód,1,406.29,406.29
2025-05-29,1042,Zachód,5,3198.06,15990.3
2025-04-10,1075,Zachód,3,99.87,299.61
2025-04-11,1013,Zachód,2,2779.01,5558.02
2025-05-05,1058,Południe,5,300.89,1504.45
2025-04-21,1045,Północ,2,1702.62,3405.24
2025-05-28,1067,Zachód,5,718.95,3594.75
2025-05-04,1073,Wschód,3,1250.5,3751.5
2025-04-10,1045,Południe,1,1763.25,1763.25
2025-05-17,1069,Zachód,1,3401.77,3401.77
2025-04-05,1003,Zachód,4,283.92,1135.68
2025-05-29,1024,Południe,4,1003.15,4012.6
2025-04-28,1088,Południe,5,104.2,521.0
2025-04-27,1002,Południe,5,160.09,800.45
2025-05-11,1097,Południe,1,1093.03,1093.03
2025-04-22,1089,Zachód,3,292.93,878.79
2025-06-23,9999,Zachód,4,1570.89,6283.56
2025-05-14,1087,Wschód,5,637.52,3187.6
2025-05-05,1044,Południe,4,2242.84,8971.36
2025-04-04,1091,Południe,2,3223.5,6447.0
2025-05-26,1078,Południe,1,2729.33,2729.33
